model,191334->732623 [Cement],191334->732624 [Container Service],716087->094702 [Fertilizers],716087->732620 [Coal],716087->732623 [Coal],716087->732624 [Others],"756379->732624 [Petroleum, Oil and Lubricant]",993507->716087 [Coal]
GRU baseline,0.26916924118995667,0.09484244138002396,0.09827679395675659,1.0391294956207275,1.4672514200210571,0.18081369996070862,0.08516699820756912,1.5635112524032593
"GRU, 2 layers+dropout",0.26556825637817383,0.09867171198129654,0.10348190367221832,1.0343226194381714,1.4197559356689453,0.17947466671466827,0.08271966129541397,1.5828967094421387
"GRU, high penalty",0.2797720730304718,0.09522204846143723,0.10815649479627609,1.026647925376892,1.5316720008850098,0.1852056384086609,0.0924336165189743,1.6216367483139038
"GRU, larger hidden",0.2642793655395508,0.09410770237445831,0.0971997007727623,1.0364551544189453,1.4519436359405518,0.1745200902223587,0.08262494206428528,1.5639909505844116
"GRU, low penalty",0.2821824550628662,0.1038135513663292,0.09613532572984695,1.044645071029663,1.4982174634933472,0.17529813945293427,0.08188308030366898,1.5599172115325928
LSTM baseline,0.25759273767471313,0.09483517706394196,0.09703901410102844,1.0470139980316162,1.4756616353988647,0.1668262630701065,0.0824175477027893,1.5031927824020386
LightGBM (lag features),0.2931044452672437,0.10448939540700311,0.09625300733812414,1.1869361468653676,1.488711955849541,0.18685509998328556,0.09013827585431769,1.564589973313346
Naive Persistence,0.49239702087909026,0.21062995405024687,0.19508925507433308,2.47170597864126,2.9644630647545944,0.35956370654555975,0.1791102152476911,3.030022494742093
Seasonal Naive (lag=7),0.3510699731859836,0.12194699634974458,0.1238631052585517,1.3808096836470898,1.9783219277137314,0.23032569273689613,0.10446749575827205,2.076702014227381
