Country,Year,Commodity Or Commodity Group,Additional Info,"Tonnes Originating (UOM:t(Tonne)), Scaling Factor:1000000","Net Tonne Kilometers (UOM:NTKM(Nettonnekilometers)), Scaling Factor:1000000","Earnings (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Financial Year (Apr - Mar), 2018",Raw material for steel plants except iron ore,,25.77,15141,2359.04
India,"Financial Year (Apr - Mar), 2017",Balance other goods,"Excludes 'other goods earnings' such as wharfage, demurrage, etc.,",84.09,58306,7693.49
India,"Financial Year (Apr - Mar), 2017",Cement,,112.96,63954,9613.34
India,"Financial Year (Apr - Mar), 2017",Coal,,555.2,276692,52042.21
India,"Financial Year (Apr - Mar), 2017",Container Services,,53.94,53703,5192.31
India,"Financial Year (Apr - Mar), 2017",Fertilizers,,48.53,42035,5744.11
India,"Financial Year (Apr - Mar), 2017",Food grains,,43.79,61750,8402.81
India,"Financial Year (Apr - Mar), 2017",Iron ore,,139.8,43807,8801.71
India,"Financial Year (Apr - Mar), 2017",Mineral oil ( POL ),,43.11,29519,5668.16
India,"Financial Year (Apr - Mar), 2017",Pig Iron and finished steel,,54.36,49048,8182.11
India,"Financial Year (Apr - Mar), 2017",Raw material for steel plants except iron ore,,23.77,14102,2183.28
